product_name,image_id,product_category,product_description,product_id
Chaise Scandinave,IMG001.png,Furniture,Chaise en bois clair avec coussin gris,PROD001
Cafetera Italiana,IMG002.png,Kitchen,Pequeña cafetera de aluminio para espresso,PROD002
Tavolo da Pranzo,IMG003.png,Furniture,Tavolo in legno massello per sei persone,PROD003
Küchenmesser Set,IMG004.png,Kitchen,Set aus fünf Edelstahlmessern mit Holzgriff,PROD004
Lámpara de Techo,IMG005.png,Lighting,Lámpara moderna con pantalla de vidrio,PROD005
Canapé Convertible,IMG006.png,Furniture,Canapé gris convertible en lit deux places,PROD006
Zapatillas Deportivas,IMG007.png,Shoes,Zapatillas ligeras para correr,PROD007
Bureau Compact,IMG008.png,Furniture,Bureau en bois clair avec tiroirs intégrés,PROD008
T-shirt Bio,IMG009.png,Clothing,T-shirt en coton bio, coupe unisexe,PROD009
Bolsa de Tela,IMG010.png,Accessories,Bolsa ecológica con estampado floral,PROD010
Stuhl Modern,IMG011.png,Furniture,Moderner Kunststoffstuhl mit Metallbeinen,PROD011
Camiseta Estampada,IMG012.png,Clothing,Camiseta con diseño gráfico colorido,PROD012
Lampada da Tavolo,IMG013,Lighting,Lampada con base in ceramica e paralume,PROD013
Sneakers Bianche,IMG014,Shoes,Sneakers in pelle bianca con suola alta,PROD014
Table Basse,IMG015,Furniture,Table basse en verre trempé,PROD015
Chaussures de Ville,IMG016,Shoes,Chaussures en cuir noir pour homme,PROD016
Gorro de Lana,IMG017,Accessories,Gorro tejido a mano en lana merino,PROD017
Kochpfanne,IMG018,Kitchen,Antihaftpfanne mit Deckel aus Glas,PROD018
Vestido Largo,IMG019,Clothing,Vestido elegante de noche,PROD019
Étagère Murale,IMG020,Furniture,Étagère en bois flotté pour décoration,PROD020
Trui met Rits,IMG021,Clothing,Warme trui met ritssluiting en capuchon,PROD021
Mesa Auxiliar,IMG022,Furniture,Mesa pequeña para salón o dormitorio,PROD022
Camisola de Linho,IMG023,Clothing,Camisola leve para dias quentes,PROD023
Tapis Berbère,IMG024,Furniture,Tapis fait main en laine naturelle,PROD024
Schreibtischlampe,IMG025,Lighting,LED-Lampe mit verstellbarem Arm,PROD025
Zaino da Viaggio,IMG026,Accessories,Zaino impermeabile con tasche multiple,PROD026
Chaqueta de Cuero,IMG027,Clothing,Chaqueta negra estilo motero,PROD027
Küchenschürze,IMG028,Kitchen,Schürze aus Baumwolle mit Taschen,PROD028
Lustre Vintage,IMG029,Lighting,Lustre en métal noir style industriel,PROD029
Pantalón Vaquero,IMG030,Clothing,Pantalón clásico de mezclilla azul,PROD030
Tavolino Moderno,IMG031,Furniture,Tavolino basso con ripiano in vetro,PROD031
Botas de Montaña,IMG032,Shoes,Botas resistentes para senderismo,PROD032
T-shirt Grafica,IMG033,Clothing,T-shirt con stampa artistica,PROD033
Kofferset,IMG034,Accessories,Reiseset mit zwei Koffern,PROD034
Chaise Pliante,IMG035,Furniture,Chaise légère et pliable pour extérieur,PROD035
Lámpara LED,IMG036,Lighting,Lámpara de escritorio con luz regulable,PROD036
Camisa de Algodão,IMG037,Clothing,Camisa casual com botões,PROD037
Tapis de Yoga,IMG038,Accessories,Tapis antidérapant pour yoga et fitness,PROD038
Sneakers Coloridas,IMG039,Shoes,Sapatos esportivos com cores vibrantes,PROD039
Bureau d’Angle,IMG040,Furniture,Bureau ergonomique pour coin de pièce,PROD040
Gafas de Sol,IMG041,Accessories,Gafas polarizadas con marco metálico,PROD041
Kochgeschirr Set,IMG042,Kitchen,Set aus Töpfen und Pfannen,PROD042
Vestido de Verano,IMG043,Clothing,Vestido ligero con estampado floral,PROD043
Lampada Sospesa,IMG044,Lighting,Lampada pendente in stile minimal,PROD044
Chaussures de Randonnée,IMG045,Shoes,Chaussures imperméables pour terrain difficile,PROD045
Bolso de Mano,IMG046,Accessories,Bolso elegante para ocasiones especiales,PROD046
T-shirt Oversize,IMG047,Clothing,T-shirt ample en coton doux,PROD047
Étagère Métallique,IMG048,Furniture,Étagère industrielle en métal noir,PROD048
Lámpara de Pie,IMG049,Lighting,Lámpara alta para salón moderno,PROD049
Camisa de Lino,IMG050,Clothing,Camisa fresca para clima cálido,PROD050